lunch|n. 午餐|The dishes for lunch were really rich and tasty.|午餐的菜肴真是丰盛可口。||【辨析】bunch  n.束，串，扎；launch v.发动，发起；【谐音】浪吃(lunch)"：午餐时放松享受美食。
peculiar|adj. 奇怪的；独特的|We are often surprised by her peculiar ideas.|我们经常被她古怪的想法吓到。|feel peculiar 感到有点不舒服|【辨析】secular     adj.非宗教的，世俗的；peculiarity n.特点，特性；【谐音】皮裤脸(peculiar)"：皮裤穿到脸上，很古怪、特殊。
regional|adj. 地域的，地方的|He spoke with a regional accent.|他说话带有地方口音。|regional accent 地方口音；regional corrency blocks 地区货币集团|【辨析】region     n.地区，区域；rational   adj.（想法、决定等）合理的，基于理性的；religion   n.宗教信仰；reasonable adj.有道理的，合情理的；religious  adj.宗教的，与宗教相关的；reign      n.（君主）在位时期，统治时期；【谐音】位置呢(regional)"：与特定地区相关的。
write|v. 写|In some countries children don't start learning to read and write until they are six.|有些国家的儿童到了六岁才开始读书写字。|write a will 草拟遗嘱；write off 减记(write off investment in this sector)，冲销|【辨析】white   adj.白色的；writer  n.（职业的）作家，作者；wait    v.等候；written adj.书面的，（协议、规定、法律等）成文的，（测验、工作等）书面的；writing n.写作，著书；【谐音】外头(write)"：去外面写信。；【变形】过去式：wrote；过去分词：written；现在分词：writing
disrupt|v. 扰乱，使中断|Traffic was disrupted by a serious car accident.|一场严重的车祸扰乱了交通。||【辨析】dispute   n.争论，辩论，纠纷；erupt     v.喷发；abrupt    adj.突然的，意外的；corrupt   adj.腐败的，贪污的；interrupt v.打断，打扰；bankrupt  adj.破产的，倒闭的；【谐音】弟说rap(disrupt)"：弟弟突然说唱，中断、扰乱了我的思绪，令我的思绪一片混乱。
ignorance|n. 无知|They fought a long battle against prejudice and ignorance .|他们为反对偏见与无知而战。|ignorant adj 无知的，愚昧的；ignorance is bliss 不知道心不烦；contempt at 对。。蔑视|【辨析】ignorant  adj.无知的，（对某事物）不了解的；ignore    v.佯装未见，不理睬；innocence n.天真，单纯；arrogance n.傲慢，自大；innocent  adj.天真的，幼稚的；ignite    v.点燃，燃烧；【谐音】一个no认识(ignorance)"：无知、愚昧。
sponsor|n. 赞助者；（法案）发起人；v. 赞助；主办；捐资；提交（法案）|I'm collecting sponsors for next week's charity run.|我正在为下星期的募款赛跑征集捐款者。|government-sponsored projects 政府资助的项目|【辨析】sponsorship n.赞助，赞助款；spouse      n.配偶；spoon       n.匙，勺子；spoonful    n.一匙，一勺（的量）；【谐音】死帮sir(sponsor)"：赞助人就是拼命帮助你的人。
mysterious|adj. 神秘的；故弄玄虚的|It's been hard for him to keep a mysterious personal life since he became famous.|自从他出名以后，要维持神秘的个人生活就一直很难了。|mysterious east 神秘的東方|【辨析】mystery n.难以理解（或解释）的事物，奥秘
sway|v. 摇摆；说服；控制，影响；n. 摇摆；控制|The photographer takes pictures of the flowers swaying in the wind.|这位摄影师给这些在风中摇曳的花朵拍了照片。||【辨析】swap v.交换，交易；wrap v.包，裹，包装；【谐音】思维(sway)"：影响并支配你的想法和行为。
maximize|v. 使达到最大限度；充分利用|We must maximize profits.|我们必须尽量增加利润。||【辨析】minimize v.使减少到最低限度；maximum  adj.最大限度的；maximal  adj.最大的，最高的，最大限度的；【谐音】麦克斯(max)麦子(ize)"：麦子要最大化产量。；【变形】现在分词：maximizing
nationality|n. 国籍；民族|Everyone can apply for this job regardless of age or nationality .|每个人都可以申请这个岗位，不论年龄和国籍。|dual nationality 双重国籍；单复同行|【辨析】national    adj.国家的，全国的；nationalist n.国家主义者；nationalism n.国家主义，民族主义；nationwide  adj.全国性的，全国各地的；personality n.个性，性格；nation      n.国家，民族；【谐音】拿星拿来贴(nationality)"：民族英雄的胸前贴满了星星。；【变形】复数形式：nationalities
commitment|n. 承诺，保证；投入，奉献|He is highly praised for his commitment to work.|他因为对工作十分投入而被高度赞扬。||【辨析】committee  n.委员会；commit     v.犯（罪、错）；compliment n.赞扬，称赞；comment    n.评论，意见；【谐音】肯meet(commit)他们"：我承诺会去见他们。
calf|n. 小牛|How many calves were given birth by the cow?|这只奶牛生了几只牛犊？|offer up 献上|【辨析】gulf   n.海湾；cattle n.牛；loaf   n.一条，一块（面包）；【谐音】靠扶(calf)"：刚出生的小牛靠扶着才能站起来。；【变形】复数形式：calves
lawful|adj. 法定的；合法的|He was the only lawful heir of the old man's property.|他是老人财产的唯一合法继承人。|lawful rights and interests 合法权益|【辨析】lawsuit n.诉讼，诉讼案；lawyer  n.律师；legal   adj.法律允许的，合法的；【谐音】牢否(lawful)"：不是牢狱，而是合法的。
leisure|n. 闲暇|What do you do in your leisure time?|你业余时间都会做些什么？|leisure Centre 娱乐中心；at leisure 空闲的；leisure time 业余时间|【辨析】lecture    n.讲座，讲课，演讲；literature n.文学，文学作品；【谐音】累(lei)当然(sure)"：累了当然要空闲下来安逸一下。
statesman|n. 政治家|Hamilton is the party's elder statesman .|汉密尔顿是该党的元老。|go down in history 载入史册|【辨析】spokesman  n.（尤指男性）发言人，代言人；status     n.法律地位（或身份）；statue     n.（石或金属做的动物或人的）雕像；statistics n.统计学；【变形】复数形式：statesmen
heal|v. （使）康复；治愈；弥合|The doctor healed the gunshot wound in his leg.|医生治好了他腿上的枪伤。|heal the world 拯救世界|【辨析】zeal n.热情，热忱；hell n.地狱；heap n.（凌乱的）一堆；【谐音】喝药(heal)"：喝完药病就痊愈了。
constant|adj. 连续不断的，重复的；恒定的|She gradually lost her self-confidence as a result of constant criticism.|由于不断遭到批评，她逐渐丧失了自信。|constant pressure 恒压 constant speed 恒速；等速|【辨析】consent    n.许可，允许；consist    v.由……组成，由……构成；instant    adj.立刻的，马上的；content    adj.满足的，满意的，甘愿的；consistent adj.始终如一的，一贯的；distant    adj.遥远的，久远的；contend    v.声称，主张；continual  adj.多次重复的，频繁的；continuous adj.连续不断的，持续的；【谐音】看似顿(constant)"：实际上是持续不断的。
maximal|adj. 最大的，最高的|She obtained maximal benefit from the course.|她从该课程中获益极大。||【辨析】minimal  adj.极小的，极少的；maximum  adj.最大限度的；maximize v.使增加到最大限度
dilemma|n. 进退两难的窘境|She was faced with the dilemma of whether or not to work at her hometown.|她面临着是否在家乡工作的艰难选择。|in a dilemma 处于两难境地|【辨析】diploma  n.毕业文凭，学位证书；diplomat n.外交官，外交家；【谐音】地雷吗(dilemma)"：陷入雷区，进退两难。
rod|n. 杆，棒|The concrete walls are strengthened with steel rods .|这座水泥墙是用钢筋加固的。|fishing rod 鱼竿|【辨析】rid v.使……去掉，使……去除；rob v.抢劫，盗取；rot v.（使）腐败，（使）腐烂；rub v.擦，磨擦；rug n.小地毯，垫子；mud n.泥，淤泥，泥浆；【谐音】弱的(rod)"：自己太弱了打不赢就只能拿棒子。
administrative|adj. 管理的，行政的|Each company is staffed with a number of administrative assistants.|每个公司都配备有若干名行政助理。|administrative assistant 行政助理|【辨析】administrate   v.管理，经营；administration n.管理，行政；administer     v.管理，治理；【谐音】爱得命令死催(administrative)"：形容管理层的工作特点。
absent|adj. 缺席的；缺少的；心不在焉的；v. 缺席；不参加|He was absent from work for two weeks.|他两周没来上班。|absent minded 心不在焉；absent friend 远方的朋友|【辨析】absence n.缺席，缺勤，不在；present adj.（人）在场的，出席的；attend  v.随同，陪同；【谐音】阿伯肾疼(absent)"：阿伯因肾疼缺席了会议。
boast|v. 吹嘘；以拥有…而自豪；n. 夸耀|Parents tend to boast about children's achievements to each other.|父母往往喜欢互相吹嘘孩子们的成就。|make a boast of 自豪地说到，夸耀|【辨析】boost v.使增长，推动；blast n.爆炸，爆破；brag  v.吹牛，自夸；【谐音】boss特(boast)"：老板特别爱自夸。
crane|n. 起重机，吊车；鹤；v. 伸长（脖子）看|He craned his neck above the crowd to look for his son.|他把头探出人群，寻找他的儿子。|Yellow Crane Tower 黄鹤楼|【辨析】crack v.破裂，裂开；cane  n.茎；canoe n.独木舟，小划子；【谐音】可运(crane)"：起重机可以运东西。
nowadays|adv. 现今|Nowadays most kids prefer watching TV to reading.|如今，大多数孩子更喜欢看电视而不是读书。|increasingly rely increasingly on 依赖于|【辨析】now adv.现在，此刻
Christianity|n. 基督教|People in many western countries believe in Christianity .|许多西方国家的人都信仰基督教。
rivalry|n. 竞争，较量|Rivalry between brothers and sisters is common in many families.|在很多家庭中，兄弟姐妹之间的较劲很常见。||【辨析】rival n.竞争对手，敌手；【谐音】楚河(river)汉界(ry)"：楚河汉界两岸相互竞争。；【变形】复数形式：rivalries
chip|n. 芯片；炸薯条；碎屑；筹码|The entire content of a book will be located on a single silicon chip .|整本书的内容只用一片硅芯片就可以装下。|chip off 脱落；potato chips 炸马铃薯薄片；chip in 凑钱 ；chip 碎片，薄片 。切，剁，削|【辨析】chop  v.剁，砍，劈；ship  n.（大）船，舰；cheap adj.便宜的，廉价的；【变形】过去式：chipped；过去分词：chipped；现在分词：chipping
scholarship|n. 奖学金；学术研究|She won a scholarship to study at Stanford.|她获得了奖学金，得以在斯坦福大学求学。|on the basis of 由于|【辨析】scholar    n.学者；scholarly  adj.学术的，学术性的；scholastic adj.（成就或能力）学业的，学术的
